ticket_id,submitted_by,date_submitted,priority,category,description
TKT-001,john.smith,2026-01-05,High,Hardware,"My laptop screen has gone completely black. It was working fine yesterday but now when I press the power button I can hear it start up but nothing displays on screen."
TKT-002,sarah.jones,2026-01-05,Low,Software,"Can you please install Adobe Acrobat on my workstation? I need it to review PDF contracts sent by clients."
TKT-003,mike.taylor,2026-01-06,Critical,Network,"The entire office on floor 3 has lost internet connectivity. Nobody on this floor can access any websites or internal systems. This is affecting about 20 people."
TKT-004,linda.green,2026-01-06,Medium,Account Access,"I have been locked out of my Active Directory account after entering the wrong password too many times. Please reset my password and unlock the account."
TKT-005,chris.white,2026-01-06,Low,Email,"My email signature is not displaying correctly in Outlook. The company logo appears as a red X instead of the actual image."
TKT-006,emma.davis,2026-01-07,High,Hardware,"The printer on the second floor (HP LaserJet, asset tag HW-0234) is showing a paper jam error but there is no visible paper inside. It has been like this since this morning."
TKT-007,james.wilson,2026-01-07,Medium,Software,"Microsoft Excel keeps crashing whenever I try to open files larger than 10MB. I have tried restarting but the issue persists. I need this fixed urgently as I have reports due."
TKT-008,olivia.brown,2026-01-07,Low,Access Request,"Please grant me read access to the shared finance drive at \\fileserver\finance. My manager David Clarke has approved this request."
TKT-009,noah.martin,2026-01-08,High,Security,"I received a suspicious email claiming to be from our CEO asking me to purchase gift cards urgently. I did not click any links. Flagging this as a potential phishing attempt."
TKT-010,ava.thompson,2026-01-08,Medium,Hardware,"My keyboard is missing several keys — specifically the letters N, M, and the spacebar have stopped registering keystrokes. The keyboard is a Dell wired USB model."
TKT-011,liam.anderson,2026-01-08,Low,Software,"Please install the VPN client on my new laptop so I can work from home. I have the company VPN credentials but the software is not installed."
TKT-012,sophia.jackson,2026-01-09,Critical,Server,"The production web server (SRV-PROD-01) appears to be down. The company website is returning a 503 error and customers cannot place orders. Urgent attention needed."
TKT-013,ethan.harris,2026-01-09,Medium,Network,"My computer cannot connect to the Wi-Fi in the meeting room on floor 1 (Room 1B). Other rooms work fine. This has been happening for two days."
TKT-014,mia.clark,2026-01-09,Low,Email,"I am unable to open calendar invites sent from external Gmail addresses in Outlook. The invites show up but clicking Accept does nothing."
TKT-015,oliver.lewis,2026-01-10,High,Account Access,"A former employee's account (username: d.roberts) was not disabled when they left last week. Please disable it immediately and revoke all access."
TKT-016,isabella.walker,2026-01-10,Medium,Hardware,"My mouse cursor is jumping around the screen randomly, making it nearly impossible to work. I have tried a different mousepad and the issue continues."
TKT-017,william.hall,2026-01-10,Low,Software,"The company intranet portal is not loading in Chrome. It loads fine in Edge. I get a NET::ERR_CERT_AUTHORITY_INVALID error in Chrome."
TKT-018,charlotte.allen,2026-01-12,High,Security,"My laptop was stolen from my car over the weekend. The device has company data on it. Please remotely wipe it as soon as possible. Asset tag is LT-0891."
TKT-019,benjamin.young,2026-01-12,Medium,Software,"Zoom is crashing every time I try to share my screen during a meeting. Audio and video work fine, but screen sharing causes an immediate crash."
TKT-020,amelia.hernandez,2026-01-12,Low,Hardware,"The docking station at desk 4C is not charging my laptop. The laptop charges fine with the regular cable, so the issue seems to be the dock."
TKT-021,lucas.king,2026-01-13,Medium,Account Access,"I need access to the project management tool (Jira) for the new product launch project. Please create an account with standard user permissions."
TKT-022,harper.wright,2026-01-13,Low,Email,"My Outlook inbox is not syncing new emails automatically. I have to manually hit Send/Receive to see new messages. This started after a Windows update."
TKT-023,henry.lopez,2026-01-13,High,Network,"Our VoIP phones on the third floor have no dial tone. We cannot make or receive calls. This is impacting customer service operations."
TKT-024,evelyn.hill,2026-01-14,Medium,Software,"The accounting software (Sage 50) is throwing an error: 'Cannot connect to company database' when trying to log in. Other users are not affected."
TKT-025,alexander.scott,2026-01-14,Low,Hardware,"The webcam on my laptop is not being detected by any application — not Zoom, Teams, or the Camera app. Device Manager shows no webcam listed."
TKT-026,abigail.green,2026-01-14,Medium,Access Request,"Please remove my access to the HR payroll system. I have moved to a new department and no longer need this access."
TKT-027,mason.adams,2026-01-15,High,Software,"Our customer-facing CRM (Salesforce) is showing a blank white screen after login for all users on the sales team. This started at 9am this morning."
TKT-028,ella.baker,2026-01-15,Low,Email,"I accidentally deleted an important email from a client last Tuesday. Can you please recover it from the email archive or backup?"
TKT-029,logan.gonzalez,2026-01-15,Medium,Hardware,"The multifunction printer in the copy room (floor 2) is not printing in colour. Black and white works fine. The colour ink cartridges were recently replaced."
TKT-030,scarlett.nelson,2026-01-16,Critical,Security,"I think I may have clicked a phishing link in an email. My browser opened a page asking for my Microsoft 365 login. I entered my credentials before I realised. Please help immediately."
TKT-031,jackson.carter,2026-01-16,Medium,Network,"Remote desktop connection to my office PC from home is very slow and frequently disconnects. The VPN connection itself seems stable."
TKT-032,grace.mitchell,2026-01-16,Low,Software,"Can you help me set up two-factor authentication on my Microsoft 365 account? I received a prompt but was not sure how to proceed."
TKT-033,sebastian.perez,2026-01-19,High,Hardware,"My laptop battery drains from 100% to 0% in under two hours even when idle. The laptop is only 6 months old. Battery health may need checking."
TKT-034,victoria.roberts,2026-01-19,Medium,Account Access,"I need temporary admin rights on my workstation to install a piece of licensed software required for a client project. Duration: one week."
TKT-035,aiden.turner,2026-01-19,Low,Email,"Outlook is flagging emails from our supplier domain (@supplierco.com) as spam. Can you whitelist this domain so their emails go to my inbox?"
TKT-036,lily.phillips,2026-01-20,Medium,Software,"Windows 11 update failed on my machine last night and now it boots into recovery mode. I cannot access my files or applications."
TKT-037,mateo.campbell,2026-01-20,Low,Hardware,"The second monitor at my desk is not being detected. It worked last week. I have tried different cables and the monitor shows a 'No Signal' message."
TKT-038,zoey.parker,2026-01-20,High,Network,"Several users in the Leeds office are reporting they cannot authenticate to the domain. They are receiving 'No logon servers available' error at login."
TKT-039,jack.evans,2026-01-21,Medium,Software,"The PDF printer (printing to PDF via Microsoft Print to PDF) stopped working after a Windows update. It shows in the printer list but jobs fail silently."
TKT-040,nora.edwards,2026-01-21,Low,Access Request,"Please create a new shared mailbox for the customer support team: support@company.com. Members are: t.walsh, j.burns, and p.sharma."
TKT-041,owen.collins,2026-01-21,High,Hardware,"The SSD on my desktop PC seems to have failed. The machine won't boot and shows 'No boot device found'. I have important unsaved project files on this drive."
TKT-042,penelope.stewart,2026-01-22,Medium,Software,"Microsoft Teams notifications have stopped appearing on my desktop. I can see messages when I open Teams but get no pop-up alerts or sounds."
TKT-043,gabriel.sanchez,2026-01-22,Low,Email,"My email is taking several minutes to send messages with attachments over 5MB. Smaller emails send instantly. This started about a week ago."
TKT-044,hannah.morris,2026-01-22,High,Security,"An unauthorised USB device was found plugged into a workstation in the server room (WS-SRV-04). The device has been removed. Please investigate any data access logs."
TKT-045,anthony.rogers,2026-01-23,Medium,Network,"The VPN is blocking access to our cloud storage platform (SharePoint Online). When connected to VPN I get a timeout; disconnecting fixes it."
TKT-046,addison.reed,2026-01-23,Low,Software,"I need the Microsoft Project viewer installed on my laptop so I can open .mpp files sent by our project manager without editing them."
TKT-047,dylan.cook,2026-01-23,High,Server,"The file server (FS-01) disk usage is at 98%. Users are receiving 'disk full' errors when saving documents to network drives."
TKT-048,leah.morgan,2026-01-26,Medium,Hardware,"My USB headset is not being recognised by my computer. It worked fine last week. I have tried different USB ports with the same result."
TKT-049,ryan.bell,2026-01-26,Low,Account Access,"I have joined the company and need my user account set up. My manager is Claire Foster. I will be based in the Manchester office starting 3rd February."
TKT-050,zoe.murphy,2026-01-26,Medium,Software,"The antivirus software on my laptop is showing a subscription expired warning. It will not update virus definitions. Please renew or reinstall."
TKT-051,nathan.bailey,2026-01-27,High,Network,"The wireless access point in the boardroom (AP-BOARD-01) appears to be offline. We have an important client presentation in 2 hours and need Wi-Fi restored."
